a0_lob_1,ct_lob_1,a0_lob_2,ct_lob_2,a0_lob_3,ct_lob_3,a0_lob_4,ct_lob_4,a0_lob_6,ct_lob_6,a0_lob_1000,ct_lob_1000
0.0000,0.0010,0.0000,0.0010,0.0000,0.0010,0.0000,0.0010,0.0000,0.0010,0.0000,1.0000
0.2721239,0.046936113,0.16371681,0.05345502,0.119469024,0.0886571,0.16371681,0.21903521,0.057522126,0.10821382,2,1
0.53097343,0.11734029,0.30309734,0.14341591,0.2721239,0.23859191,0.35840708,0.5267275,0.13274336,0.30638853,,
0.86283183,0.24511082,0.47123894,0.2816167,0.41150442,0.3963494,0.460177,0.67275095,0.30088496,0.6714472,,
1.199115,0.38591915,0.6017699,0.37940025,0.5442478,0.5410691,0.57522124,0.7953064,0.41150442,0.8279009,,
1.5044248,0.5097784,0.74557525,0.4654498,0.670354,0.66232073,0.6681416,0.85528034,0.48672566,0.88526726,,
1.7831858,0.62320733,0.90707964,0.5501956,0.789823,0.7444589,0.8141593,0.904824,0.6061947,0.93350714,,
2,0.7170795,1.108407,0.64146024,0.9336283,0.8018253,1.0088495,0.9426336,0.7367257,0.9634941,,
,,1.3539823,0.726206,1.1150442,0.8422425,1.2234514,0.9647979,0.88495576,0.9830508,,
,,1.6349558,0.80573666,1.3451327,0.87353325,1.6769911,0.9661017,1.0884956,1,,
,,2,0.88657105,1.6482301,0.8970013,2,0.9713168,1.4314159,1,,
,,,,2,0.9308996,,,2,1,,
