a0_lob_1,cy_lob_1,a0_lob_2,cy_lob_2,a0_lob_4,cy_lob_4,a0_lob_6,cy_lob_6,a0_lob_10,cy_lob_10,a0_lob_1000,cy_lob_1000
0,0.8669725,0,0.9977064,0,1.190367,0,1.369266,0,1.8990825,0,3.0068808
0.31304348,0.80504584,0.38956523,0.9977064,0.28869566,1.1834862,0.18086956,1.3486239,0.18434782,1.5825688,0.055652175,2.8486238
0.68173915,0.7775229,0.66086954,0.9908257,0.56347823,1.1490825,0.3478261,1.3004587,0.36869565,1.3623853,0.13565217,2.4908257
1.0573913,0.76376146,1.0017391,0.9495413,0.76173913,1.059633,0.5078261,1.2247707,0.54608697,1.190367,0.24,2.0779817
1.4226087,0.75688076,1.4226087,0.88073397,1.3982608,0.9495413,0.6678261,1.1009175,0.7478261,1.059633,0.31652173,1.809633
1.7530435,0.7706422,1.812174,0.86009175,1.7843478,0.9082569,0.89391303,1.0183486,0.9704348,1.0114679,0.42086956,1.603211
2,0.8119266,2,0.86009175,2,0.92201835,1.1478261,0.95642203,1.1478261,0.9701835,0.56347823,1.4036697
,,,,,,1.3947827,0.9151376,1.4852173,0.9082569,0.67826086,1.2798165
,,,,,,1.6104348,0.8944954,1.7913043,0.8944954,0.81043476,1.1972477
,,,,,,1.8643478,0.88761467,2,0.8944954,0.9704348,1.1009175
,,,,,,2,0.88761467,,,1.1930435,1.0389909
,,,,,,,,,,1.4991305,1.0045872
,,,,,,,,,,1.7878261,0.96330273
,,,,,,,,,,2,0.9357798
