a0_lob_1,czf_lob_1,a0_lob_2,czf_lob_2,a0_lob_4,czf_lob_4,a0_lob_6,czf_lob_6,a0_lob_1000,czf_lob_1000
0,1.0382736,0,1.0382736,0,1.0765375,0,1.1197541,0,1.2234637
0.4997875,1.0200576,0.4997875,1.0200576,0.38276243,1.0496149,0.30060348,1.0878357,0.10082448,1.1988231
0.8672843,1.0091734,0.8672843,1.0091734,0.75036126,1.0313233,0.6274713,1.0633461,0.23556311,1.1532273
1.2755291,1.0032525,1.2755291,1.0032525,1.1469953,1.0216917,1.0358691,1.0463144,0.4168636,1.1138332
2,1.0036988,2,1.0036988,1.4269444,1.0169262,1.4616574,1.0367006,0.6447429,1.0794061
,,,,2,1.0172753,1.7707267,1.0344223,0.8373651,1.0647103
,,,,,,2,1.0357937,1.117416,1.0525374
,,,,,,,,1.362397,1.046516
,,,,,,,,1.6364641,1.0454506
,,,,,,,,1.8463578,1.0468147
,,,,,,,,2,1.0493702
